epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.108,1.1446,2.09603,1.21062,0.97822,0.9434,0.96837,0.63451,1.26391,1.37501,1.23841,0.00332275,0.00332275,0.00332275
2,76.1469,1.03961,1.06342,1.11929,0.97719,0.94302,0.96082,0.6217,1.30435,0.92265,1.28328,0.00664291,0.00664291,0.00664291
3,110.947,1.07032,0.89479,1.14355,0.9469,0.95329,0.95923,0.61919,1.30163,0.77393,1.2804,0.00994986,0.00994986,0.00994986
4,145.207,1.09019,0.79644,1.14612,0.94154,0.96237,0.96847,0.64889,1.2684,0.98698,1.27516,0.0099406,0.0099406,0.0099406
5,179.622,1.06609,0.7157,1.14547,0.95241,0.9434,0.96587,0.63506,1.2308,0.65666,1.24838,0.0099208,0.0099208,0.0099208
6,217.025,1.04282,0.66054,1.13089,0.96698,0.96541,0.98103,0.66129,1.2131,0.64172,1.23629,0.009901,0.009901,0.009901
7,252.949,1.02266,0.62717,1.1219,0.95888,0.95335,0.97498,0.64497,1.22844,0.59421,1.24332,0.0098812,0.0098812,0.0098812
8,288.721,1.00187,0.59422,1.10178,0.9882,0.92138,0.95658,0.62576,1.26667,0.66748,1.2698,0.0098614,0.0098614,0.0098614
9,324.555,0.97807,0.58288,1.09615,0.97373,0.91509,0.96537,0.65424,1.18584,0.57001,1.21697,0.0098416,0.0098416,0.0098416
10,361.509,0.95826,0.56811,1.08176,0.97608,0.95597,0.97652,0.67894,1.1534,0.60668,1.18215,0.0098218,0.0098218,0.0098218
11,397.243,0.96937,0.55728,1.08957,0.98717,0.96765,0.98467,0.69453,1.16966,0.54276,1.18824,0.009802,0.009802,0.009802
12,433.104,0.95384,0.55222,1.07496,0.99231,0.95597,0.98052,0.69221,1.2096,0.53013,1.21377,0.0097822,0.0097822,0.0097822
13,468.431,0.92576,0.53478,1.06516,0.97652,0.96855,0.9694,0.68766,1.13176,0.5276,1.16475,0.0097624,0.0097624,0.0097624
14,504.169,0.9177,0.5274,1.06102,0.98448,0.95912,0.98089,0.69645,1.14366,0.54168,1.18087,0.0097426,0.0097426,0.0097426
